year,sex,age,population
1971,Male,0,133347
1972,Male,0,136987
1973,Male,0,129492
1974,Male,0,124803
1975,Male,0,120678
1976,Male,0,115457
1977,Male,0,115298
1978,Male,0,115249
1979,Male,0,113443
1980,Male,0,114488
1981,Male,0,117842
1982,Male,0,121129
1983,Male,0,123761
1984,Male,0,122309
1985,Male,0,123187
1986,Male,0,122376
1987,Male,0,124069
1988,Male,0,125702
1989,Male,0,127847
1990,Male,0,131758
1991,Male,0,132946
1992,Male,0,132385
1993,Male,0,132575
1994,Male,0,132124
1995,Male,0,132269
1996,Male,0,130388
1997,Male,0,130109
1998,Male,0,127895
1999,Male,0,128409
2000,Male,0,128561
2001,Male,0,129011
2002,Male,0,127625
2003,Male,0,127686
2004,Male,0,129525
2005,Male,0,132477
2006,Male,0,136681
2007,Male,0,145930
2008,Male,0,149299
2009,Male,0,151627
2010,Male,0,152773
2011,Male,0,149027
2012,Male,0,156689
2013,Male,0,159365
2014,Male,0,157172
2015,Male,0,158281
2016,Male,0,164034
2017,Male,0,157563
2018,Male,0,155668
2019,Male,0,155871
2020,Male,0,152279
2021,Male,0,153350
2022,Male,0,157795
2023,Male,0,149717
2024,Male,0,148928
2025,Male,0,153909
1971,Male,1,127834
1972,Male,1,134232
1973,Male,1,137057
1974,Male,1,130161
1975,Male,1,125807
1976,Male,1,119694
1977,Male,1,115936
1978,Male,1,115587
1979,Male,1,115402
1980,Male,1,113943
1981,Male,1,115397
1982,Male,1,118804
1983,Male,1,121591
1984,Male,1,123927
1985,Male,1,122572
1986,Male,1,123947
1987,Male,1,123655
1988,Male,1,125202
1989,Male,1,126870
1990,Male,1,128771
1991,Male,1,132272
1992,Male,1,133314
1993,Male,1,132178
1994,Male,1,132531
1995,Male,1,132458
1996,Male,1,132662
1997,Male,1,130955
1998,Male,1,130678
1999,Male,1,128553
2000,Male,1,129355
2001,Male,1,129860
2002,Male,1,129677
2003,Male,1,128410
2004,Male,1,128539
2005,Male,1,130491
2006,Male,1,133184
2007,Male,1,138494
2008,Male,1,146337
2009,Male,1,149254
2010,Male,1,150573
2011,Male,1,151366
2012,Male,1,151351
2013,Male,1,157765
2014,Male,1,160025
2015,Male,1,158130
2016,Male,1,160005
2017,Male,1,164270
2018,Male,1,158037
2019,Male,1,156009
2020,Male,1,155503
2021,Male,1,151459
2022,Male,1,153734
2023,Male,1,159217
2024,Male,1,151249
2025,Male,1,150217
1971,Male,2,129131
1972,Male,2,128856
1973,Male,2,135564
