,Estimated Resident Population ;  Persons ;  48 ;,Estimated Resident Population ;  Persons ;  49 ;,Estimated Resident Population ;  Persons ;  50 ;,Estimated Resident Population ;  Persons ;  51 ;,Estimated Resident Population ;  Persons ;  52 ;,Estimated Resident Population ;  Persons ;  53 ;,Estimated Resident Population ;  Persons ;  54 ;,Estimated Resident Population ;  Persons ;  55 ;,Estimated Resident Population ;  Persons ;  56 ;,Estimated Resident Population ;  Persons ;  57 ;,Estimated Resident Population ;  Persons ;  58 ;,Estimated Resident Population ;  Persons ;  59 ;,Estimated Resident Population ;  Persons ;  60 ;,Estimated Resident Population ;  Persons ;  61 ;,Estimated Resident Population ;  Persons ;  62 ;,Estimated Resident Population ;  Persons ;  63 ;,Estimated Resident Population ;  Persons ;  64 ;,Estimated Resident Population ;  Persons ;  65 ;,Estimated Resident Population ;  Persons ;  66 ;,Estimated Resident Population ;  Persons ;  67 ;,Estimated Resident Population ;  Persons ;  68 ;,Estimated Resident Population ;  Persons ;  69 ;,Estimated Resident Population ;  Persons ;  70 ;,Estimated Resident Population ;  Persons ;  71 ;,Estimated Resident Population ;  Persons ;  72 ;,Estimated Resident Population ;  Persons ;  73 ;,Estimated Resident Population ;  Persons ;  74 ;,Estimated Resident Population ;  Persons ;  75 ;,Estimated Resident Population ;  Persons ;  76 ;,Estimated Resident Population ;  Persons ;  77 ;,Estimated Resident Population ;  Persons ;  78 ;,Estimated Resident Population ;  Persons ;  79 ;,Estimated Resident Population ;  Persons ;  80 ;,Estimated Resident Population ;  Persons ;  81 ;,Estimated Resident Population ;  Persons ;  82 ;,Estimated Resident Population ;  Persons ;  83 ;,Estimated Resident Population ;  Persons ;  84 ;,Estimated Resident Population ;  Persons ;  85 ;,Estimated Resident Population ;  Persons ;  86 ;,Estimated Resident Population ;  Persons ;  87 ;,Estimated Resident Population ;  Persons ;  88 ;,Estimated Resident Population ;  Persons ;  89 ;,Estimated Resident Population ;  Persons ;  90 ;,Estimated Resident Population ;  Persons ;  91 ;,Estimated Resident Population ;  Persons ;  92 ;,Estimated Resident Population ;  Persons ;  93 ;,Estimated Resident Population ;  Persons ;  94 ;,Estimated Resident Population ;  Persons ;  95 ;,Estimated Resident Population ;  Persons ;  96 ;,Estimated Resident Population ;  Persons ;  97 ;,Estimated Resident Population ;  Persons ;  98 ;,Estimated Resident Population ;  Persons ;  99 ;,Estimated Resident Population ;  Persons ;  100 and over ;
Unit,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons,Persons
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original,Original
Data Type,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK,STOCK
Frequency,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual,Annual
Collection Month,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12
Series Start,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971,Jun-1971
Series End,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025,Jun-2025
No. Obs,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55
Series ID,A2159170A,A2159171C,A2159172F,A2159173J,A2159174K,A2159175L,A2159176R,A2159177T,A2159178V,A2159179W,A2159180F,A2159181J,A2159182K,A2159183L,A2159184R,A2159185T,A2159186V,A2159187W,A2159188X,A2159189A,A2159190K,A2159191L,A2159192R,A2159193T,A2159194V,A2159195W,A2159196X,A2159197A,A2159198C,A2159199F,A2159200C,A2159201F,A2159202J,A2159203K,A2159204L,A2159205R,A2159206T,A2159207V,A2159208W,A2159209X,A2159210J,A2159211K,A2159212L,A2159213R,A2159214T,A2159215V,A2159216W,A2159217X,A2159218A,A2159219C,A2159220L,A2159221R,A2159222T
Jun-1971,156992,156204,160693,136448,127175,125728,127466,124200,128830,126070,121832,115564,117623,103371,103523,98336,93360,91891,83466,78612,75019,70043,72727,66865,56342,52956,50096,47829,44345,39539,38111,33713,32007,26851,24185,21072,17774,14558,12386,9678,7551,6087,4824,3451,2529,1859,1324,951,642,384,294,209,203
